,Adept,Archon,Carrier,Colossus,DarkTemplar,Disruptor,HighTemplar,Immortal,Mothership,Observer,Oracle,Phoenix,Probe,Sentry,Stalker,Tempest,WarpPrism,VoidRay,Zealot,Assimilator,CyberneticsCore,DarkShrine,FleetBeacon,Forge,Gateway,Nexus,PhotonCannon,Pylon,RoboticsFacility,RoboticsBay,ShieldBattery,Stargate,TemplarArchive,TwilightCouncil,WarpGate,ProtossAirArmorsLevel1,ProtossAirArmorsLevel2,ProtossAirArmorsLevel3,ProtossAirWeaponsLevel1,ProtossAirWeaponsLevel2,ProtossAirWeaponsLevel3,ProtossGroundArmorsLevel1,ProtossGroundArmorsLevel2,ProtossGroundArmorsLevel3,ProtossGroundWeaponsLevel1,ProtossGroundWeaponsLevel2,ProtossGroundWeaponsLevel3,ProtossShieldsLevel1,ProtossShieldsLevel2,ProtossShieldsLevel3,AdeptPiercingAttack,BlinkTech,Charge,DarkTemplarBlinkUpgrade,ExtendedThermalLance,GraviticDrive,ObserverGraviticBooster,PhoenixRangeUpgrade,PsiStormTech,WarpGateResearch,Adept1,Archon1,Carrier1,Colossus1,DarkTemplar1,Disruptor1,HighTemplar1,Immortal1,Mothership1,Observer1,Oracle1,Phoenix1,Probe1,Sentry1,Stalker1,Tempest1,WarpPrism1,VoidRay1,Zealot1,Assimilator1,CyberneticsCore1,DarkShrine1,FleetBeacon1,Forge1,Gateway1,Nexus1,PhotonCannon1,Pylon1,RoboticsFacility1,RoboticsBay1,ShieldBattery1,Stargate1,TemplarArchive1,TwilightCouncil1,WarpGate1,ProtossAirArmorsLevel11,ProtossAirArmorsLevel21,ProtossAirArmorsLevel31,ProtossAirWeaponsLevel11,ProtossAirWeaponsLevel21,ProtossAirWeaponsLevel31,ProtossGroundArmorsLevel11,ProtossGroundArmorsLevel21,ProtossGroundArmorsLevel31,ProtossGroundWeaponsLevel11,ProtossGroundWeaponsLevel21,ProtossGroundWeaponsLevel31,ProtossShieldsLevel11,ProtossShieldsLevel21,ProtossShieldsLevel31,AdeptPiercingAttack1,BlinkTech1,Charge1,DarkTemplarBlinkUpgrade1,ExtendedThermalLance1,GraviticDrive1,ObserverGraviticBooster1,PhoenixRangeUpgrade1,PsiStormTech1,WarpGateResearch1
988,16,6,0,0,0,0,0,0,0,3,0,0,64,0,10,0,1,0,12,8,1,0,0,2,0,5,3,15,1,0,6,0,1,1,15,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,11,0,0,10,0,3,1,0,0,1,3,3,12,12,0,0,1,3,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
989,0,7,0,8,0,0,0,3,0,2,1,1,63,2,6,0,1,0,9,8,1,0,0,1,3,5,8,22,2,1,10,1,1,1,14,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,7,1,1,1,0,71,2,0,9,1,0,0,10,1,1,1,1,0,5,9,20,1,0,7,3,1,1,9,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
990,0,8,0,0,2,0,0,2,0,2,0,2,49,0,3,0,1,0,18,6,1,1,0,1,0,3,3,14,1,0,2,1,1,1,10,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,6,5,0,4,0,0,1,0,0,60,0,16,0,0,0,11,10,1,1,0,1,0,5,1,17,2,1,4,1,1,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
991,0,6,0,0,0,0,0,0,0,0,0,0,51,0,7,0,0,0,35,6,1,0,0,2,0,4,3,15,2,1,5,1,1,1,10,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,6,0,1,1,7,69,0,11,0,0,0,20,8,1,0,0,2,0,4,4,21,1,0,6,2,1,1,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
992,0,1,0,0,1,0,0,3,0,1,0,0,32,0,0,0,0,0,0,6,1,1,0,1,0,3,0,14,1,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,4,0,3,0,1,48,2,4,0,1,0,12,6,1,0,0,1,0,3,4,16,1,0,3,1,1,1,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
993,0,6,0,0,0,0,1,8,0,3,0,0,60,0,1,0,1,0,25,8,1,1,0,1,0,4,5,16,1,0,3,1,1,1,8,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0,0,0,1,9,0,1,0,0,60,1,4,0,1,0,19,8,1,1,0,1,0,3,1,19,1,0,7,1,1,1,8,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
994,0,0,6,0,0,0,0,0,0,0,0,5,42,0,0,0,1,0,0,7,1,0,1,2,0,3,3,13,1,0,0,3,1,1,7,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,8,0,0,0,0,0,7,0,1,0,0,49,0,11,0,1,0,13,8,1,0,0,2,0,4,7,20,1,0,2,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
995,0,4,0,0,0,0,0,4,0,4,0,0,40,7,15,0,1,0,18,3,1,0,0,1,0,3,2,17,1,0,0,0,1,1,8,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,4,0,3,0,0,35,0,15,0,1,0,18,6,1,1,0,2,0,3,6,13,1,1,1,0,0,1,7,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
996,0,4,0,0,0,0,0,2,0,0,0,0,67,0,15,0,0,0,6,8,1,0,0,2,0,4,0,19,2,0,4,0,1,1,11,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,4,0,0,4,0,2,0,0,56,0,1,0,0,6,7,8,1,1,1,2,0,4,2,18,1,0,0,3,0,1,5,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
997,0,0,0,10,0,0,0,0,0,0,0,0,81,2,12,0,0,0,15,8,1,0,0,2,0,4,2,20,3,1,0,0,0,1,5,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,2,0,0,2,1,0,0,0,0,1,0,6,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
998,0,0,1,0,0,0,0,0,1,0,0,0,46,0,0,0,1,0,0,6,1,0,1,1,1,3,10,12,1,0,8,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,64,0,30,3,0,0,12,8,1,0,1,3,0,4,2,20,1,0,7,3,0,1,6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
999,0,0,0,0,0,0,0,0,0,2,0,0,32,0,0,0,0,0,10,4,1,1,0,1,0,2,0,10,1,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,3,1,0,0,2,0,1,0,5,2,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1000,0,2,0,0,0,0,4,1,0,1,0,0,58,6,15,0,1,0,5,6,1,0,0,1,2,3,0,12,1,0,2,0,1,1,7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5,0,0,0,0,60,1,6,0,0,4,14,6,1,0,1,0,0,4,0,19,1,0,3,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1001,0,0,0,0,0,0,0,0,0,1,0,0,58,0,9,0,0,0,0,8,1,0,0,1,3,3,5,6,0,0,4,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,12,0,6,1,0,1,1,1,3,17,13,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,0,8,0,0,0,0,0,10,0,0,0,0,72,1,9,0,1,0,15,8,1,0,0,2,0,4,6,18,1,0,5,0,1,1,8,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0,0,0,4,7,0,1,0,0,65,1,9,0,1,0,12,10,1,0,0,2,0,5,6,17,2,0,1,1,1,1,9,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1003,0,0,0,0,0,0,0,0,0,1,0,0,31,2,7,0,0,0,2,2,1,0,0,0,0,2,0,7,1,0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,8,0,0,0,4,2,1,0,0,0,6,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,0,1,0,0,0,0,8,0,0,2,0,0,50,0,11,0,0,0,6,6,1,0,0,2,0,4,5,14,1,0,6,0,1,1,7,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,12,0,0,0,0,0,0,0,52,0,0,0,0,0,13,6,1,1,0,1,0,3,0,12,0,0,1,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1005,0,0,10,0,0,0,0,0,0,2,0,0,66,2,3,0,0,6,0,8,1,0,1,1,0,4,12,18,1,0,10,5,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,2,0,0,3,0,3,77,4,4,0,0,2,20,8,1,0,0,3,0,5,0,19,1,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1006,0,5,0,0,0,0,0,6,0,3,0,0,51,2,13,0,1,0,10,5,1,0,0,2,0,3,3,17,1,0,2,0,1,1,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,2,0,0,71,2,19,0,1,0,16,7,1,0,0,2,0,4,0,20,2,0,1,1,0,1,9,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
1007,0,4,0,0,0,0,6,1,0,3,0,0,64,0,17,0,1,0,12,6,1,0,0,2,0,4,2,21,1,0,0,0,1,1,12,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,56,0,0,2,0,0,0,8,1,0,1,2,6,3,0,15,2,1,0,2,1,1,6,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1
1008,0,3,0,0,0,0,0,5,0,2,0,0,70,3,12,0,1,0,29,6,1,0,0,2,4,3,0,22,1,0,1,0,1,1,8,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,3,69,2,11,4,0,0,10,6,1,0,1,1,0,4,2,18,1,0,2,2,1,1,5,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1009,0,0,0,0,0,0,0,0,0,0,0,0,56,0,8,0,0,0,0,6,1,1,0,1,0,4,11,10,2,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,5,39,0,0,0,0,0,0,5,1,0,1,1,0,4,3,15,1,0,0,2,0,1,6,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
1010,0,10,0,0,0,0,0,10,0,2,0,0,68,2,6,0,1,0,9,8,1,1,0,2,0,4,14,20,1,0,6,0,1,1,8,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,7,0,2,0,0,56,1,9,0,0,0,30,6,1,0,0,2,0,2,7,20,2,0,2,0,1,1,14,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
1011,0,0,6,0,0,0,0,0,0,0,0,0,34,2,0,0,0,0,0,4,1,0,1,1,1,2,9,11,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,61,0,16,0,0,5,4,6,1,0,0,0,0,4,0,13,1,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1012,0,4,0,0,0,0,0,2,0,2,0,0,42,0,23,0,0,0,2,6,1,0,0,1,0,3,2,12,1,0,1,0,1,1,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,2,45,3,17,1,0,1,5,6,2,0,1,1,0,4,0,15,0,0,8,2,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1013,0,0,0,4,0,0,0,1,1,4,0,0,33,4,6,1,0,8,12,5,1,0,1,1,2,3,6,13,1,1,5,2,0,1,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,70,0,17,0,2,0,8,5,1,1,0,2,0,4,0,22,1,0,2,0,1,1,12,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1014,0,4,0,0,2,0,0,0,0,1,0,0,59,0,14,0,1,0,10,4,1,1,0,1,2,3,0,14,1,0,2,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,2,0,1,0,0,34,0,13,0,0,0,7,4,1,0,0,1,3,3,0,7,1,0,2,0,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1015,0,7,0,0,0,0,0,1,0,1,0,0,56,0,1,0,1,0,10,6,1,0,0,1,0,3,3,14,1,0,3,1,1,1,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,43,0,4,0,0,0,0,4,1,0,0,1,0,2,1,11,1,0,2,1,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1016,0,0,0,0,0,0,0,0,0,2,0,0,66,0,48,0,0,0,0,10,1,0,0,3,2,5,0,20,1,0,0,0,0,1,13,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,44,0,22,0,0,0,5,5,1,0,0,2,3,3,0,12,1,0,1,0,0,1,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1017,0,0,0,1,4,0,0,0,0,3,0,0,34,0,2,0,0,0,4,3,1,1,0,2,0,3,0,4,1,1,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,51,0,10,0,1,0,0,4,1,0,0,1,0,3,0,10,1,0,2,0,0,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1018,0,2,0,0,0,2,0,0,0,0,0,0,54,1,12,0,0,0,6,6,1,1,0,2,0,4,5,14,2,1,1,1,0,1,6,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,6,0,2,2,6,68,0,11,0,1,0,13,8,1,1,1,3,0,4,12,18,1,0,6,2,1,1,8,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1019,0,0,0,0,0,0,1,0,0,0,0,10,36,0,11,0,0,4,2,4,1,0,0,1,1,3,0,11,0,0,0,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,2,0,0,42,0,0,0,1,0,9,5,1,0,0,1,0,3,0,8,1,0,1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
1020,0,3,0,0,0,0,0,1,0,0,0,0,65,0,0,0,0,0,4,8,1,0,0,2,0,4,15,19,1,0,6,0,1,1,8,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,3,5,0,1,0,0,64,1,2,0,0,0,4,10,1,1,0,2,1,5,21,20,2,1,5,0,1,1,11,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
1021,0,0,0,0,0,0,0,4,0,1,0,0,46,0,11,0,1,1,7,8,1,0,0,1,0,4,13,12,2,0,0,1,0,1,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,29,1,3,0,0,2,0,4,1,1,0,0,0,2,1,8,0,0,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1022,0,0,0,0,0,0,0,0,0,0,1,0,28,3,10,0,0,2,0,4,1,0,0,1,0,1,2,8,0,0,4,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,1,12,0,3,0,39,6,1,0,0,0,0,5,0,17,1,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1023,0,2,0,0,0,0,0,5,0,0,1,0,53,4,9,0,2,5,15,5,1,0,0,2,3,3,0,16,1,0,0,1,1,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,72,0,1,0,0,10,2,8,2,0,1,1,0,4,8,15,0,0,5,5,0,1,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1024,4,0,0,0,0,0,0,5,0,0,0,0,70,0,9,0,0,5,0,6,1,1,0,2,0,4,0,17,2,0,2,1,0,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,4,0,0,1,0,0,1,0,0,63,0,8,0,1,0,6,6,1,0,0,1,2,4,10,12,2,1,3,0,1,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1025,0,0,0,0,2,0,0,0,0,0,0,0,52,0,23,0,0,0,0,6,1,1,0,1,0,3,0,12,0,0,2,1,0,1,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,8,0,2,0,2,49,2,5,0,1,0,18,6,1,0,1,1,0,3,3,15,2,0,4,3,1,1,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1026,0,2,0,0,0,0,0,6,0,2,0,0,45,2,0,0,1,0,12,6,1,0,0,1,0,3,0,13,2,0,1,0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,7,0,0,0,0,4,4,0,1,0,0,63,1,3,0,0,0,28,8,1,0,0,2,0,4,6,17,1,0,8,0,1,1,10,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1027,0,4,0,7,0,0,7,0,0,0,0,0,76,0,3,0,0,0,11,8,1,0,0,2,0,5,10,25,2,1,4,0,1,1,11,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,69,0,1,0,2,0,3,10,1,0,0,2,0,5,14,18,3,1,0,1,1,1,7,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1028,2,0,0,0,0,0,0,4,0,2,0,0,45,1,6,0,0,5,8,3,1,0,0,2,4,3,4,9,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,6,2,0,2,0,0,64,0,11,0,1,0,9,9,1,1,0,2,0,6,1,19,1,0,6,0,1,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
1029,0,0,0,0,2,0,0,0,0,0,0,0,27,0,0,0,0,0,0,4,1,1,0,1,3,3,0,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30,0,7,0,0,3,12,4,1,0,0,1,0,3,3,13,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1030,0,0,3,0,0,0,0,0,0,0,0,0,90,0,21,0,1,0,9,10,2,0,1,1,0,5,0,20,1,0,0,4,0,1,11,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,3,3,0,2,0,0,47,0,16,0,0,0,7,6,1,0,0,1,0,3,3,13,2,1,2,2,1,1,6,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
1031,0,0,4,0,0,0,0,2,0,3,0,0,71,0,15,4,0,1,3,8,2,0,1,2,0,5,9,17,2,0,2,3,0,1,6,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,6,73,0,13,1,0,2,6,8,1,0,1,1,0,4,7,17,1,0,6,4,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1032,0,7,0,0,0,0,5,0,0,0,0,0,54,0,0,0,5,0,6,8,1,0,0,2,0,4,3,12,2,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,6,0,0,0,0,0,0,2,0,3,0,0,54,2,4,0,2,0,3,6,1,1,1,2,0,3,4,9,1,1,0,1,0,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1033,0,0,0,0,0,0,0,3,0,1,0,0,46,0,17,0,0,0,7,4,1,0,0,1,2,3,5,11,2,0,2,0,0,1,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,1,0,0,58,0,1,0,0,3,10,6,1,0,0,2,2,3,0,12,1,0,0,2,1,1,6,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1034,0,0,0,0,0,0,2,3,0,1,0,0,59,6,19,0,1,0,4,6,1,1,0,1,0,4,6,12,1,0,9,3,1,1,9,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,55,0,14,5,0,7,5,6,1,0,1,1,1,4,3,21,1,0,0,2,0,0,5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1035,0,5,0,0,0,0,0,8,0,0,0,0,51,0,11,0,1,0,2,6,2,0,1,3,2,4,3,16,2,0,1,3,1,1,8,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,7,0,3,0,0,0,4,0,2,0,0,55,1,6,0,1,0,2,9,1,0,0,1,0,5,3,18,2,1,3,0,1,1,8,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1036,0,0,0,0,0,1,0,1,0,1,0,0,18,0,13,0,0,0,0,4,0,0,0,1,0,2,0,6,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,1,0,2,0,0,33,0,7,0,1,0,1,4,1,1,0,0,0,2,0,11,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1037,0,0,0,0,0,0,0,9,0,1,0,0,65,2,14,0,1,0,4,5,1,0,0,2,0,3,0,25,2,0,0,0,0,1,10,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,55,0,0,1,0,0,0,6,2,0,1,3,0,2,3,16,0,0,0,6,0,1,8,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
1038,0,0,0,8,0,0,0,3,0,2,0,0,63,0,4,0,0,0,0,4,1,0,0,1,1,3,8,14,3,1,4,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1039,0,0,0,2,0,0,0,0,0,0,1,0,61,0,10,0,0,0,4,6,1,0,0,2,0,4,0,8,1,1,1,1,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,36,0,7,0,0,0,6,4,1,0,0,1,0,3,0,9,1,0,3,0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
